Date,Close,High,Low,Volume,Open,score_max,v_neg_max,v_pos_max,t_pol_max,t_sub_max,date_count,v_neg_std,v_pos_std,t_pol_std,t_sub_std
2016-01-01,434.3340148925781,436.2460021972656,427.5150146484375,36278900.0,430.7210083007813,,,,,,,,,,
2016-01-02,433.43798828125,436.06201171875,431.8699951171875,30096600.0,434.62200927734375,,,,,,,,,,
2016-01-03,430.010986328125,433.7430114746094,424.70599365234375,39633800.0,433.5780029296875,,,,,,,,,,
2016-01-04,433.0910034179688,434.5169982910156,429.0840148925781,38477500.0,430.0610046386719,,,,,,,,,,
2016-01-05,431.9599914550781,434.1820068359375,429.6759948730469,34522600.0,433.0690002441406,,,,,,,,,,
2016-01-06,429.1050109863281,431.8559875488281,426.3410034179688,34042500.0,431.8559875488281,,,,,,,,,,
2016-01-07,458.0480041503906,458.7659912109375,429.0769958496094,87562200.0,430.010986328125,,,,,,,,,,
2016-01-08,453.2300109863281,462.9339904785156,447.93798828125,56993000.0,457.5379943847656,,,,,,,,,,
2016-01-09,447.6109924316406,454.6400146484375,446.8890075683594,32278000.0,453.3829956054688,,,,,,,,,,
2016-01-10,447.9909973144531,448.3089904785156,440.35101318359375,35995900.0,448.2380065917969,,,,,,,,,,
2016-01-11,448.4280090332031,450.6619873046875,443.8550109863281,40450000.0,448.697998046875,,,,,,,,,,
2016-01-12,435.6900024414063,448.1820068359375,435.6900024414063,115607000.0,448.1820068359375,,,,,,,,,,
2016-01-13,432.3710021972656,435.1860046386719,424.4429931640625,173888000.0,434.6650085449219,,,,,,,,,,
2016-01-14,430.3059997558594,433.3240051269531,427.8450012207031,43945500.0,432.2879943847656,,,,,,,,,,
2016-01-15,364.33099365234375,430.2550048828125,364.33099365234375,153351008.0,430.2550048828125,,,,,,,,,,
2016-01-16,387.5360107421875,390.5570068359375,354.9140014648437,120352000.0,365.072998046875,,,,,,,,,,
2016-01-17,382.2990112304688,390.9649963378906,380.0920104980469,45319600.0,387.1520080566406,,,,,,,,,,
2016-01-18,387.1679992675781,388.10400390625,376.6650085449219,54403900.0,381.7330017089844,,,,,,,,,,
2016-01-19,380.1489868164063,387.7300109863281,378.9719848632813,46819800.0,387.0260009765625,,,,,,,,,,
2016-01-20,420.2300109863281,425.2669982910156,376.5989990234375,121720000.0,379.739990234375,,,,,,,,,,
2016-01-21,410.2619934082031,422.87701416015625,406.2999877929688,68338000.0,419.6319885253906,,,,,,,,,,
2016-01-22,382.4920043945313,410.4100036621094,375.2820129394531,91546600.0,409.7510070800781,,,,,,,,,,
2016-01-23,387.4909973144531,394.5429992675781,381.9809875488281,56247400.0,382.4339904785156,,,,,,,,,,
2016-01-24,402.9710083007813,405.4849853515625,387.510009765625,54824800.0,388.10198974609375,,,,,,,,,,
2016-01-25,391.72601318359375,402.3169860839844,388.5539855957031,59062400.0,402.3169860839844,,,,,,,,,,
2016-01-26,392.1530151367188,397.7659912109375,390.5750122070313,58147000.0,392.00201416015625,,,,,,,,,,
2016-01-27,394.9719848632813,396.8429870605469,391.7820129394531,47424400.0,392.4440002441406,,,,,,,,,,
2016-01-28,380.28900146484375,395.50201416015625,379.7349853515625,59247900.0,395.14599609375,,,,,,,,,,
2016-01-29,379.4739990234375,384.3789978027344,365.4519958496094,86125296.0,380.1080017089844,,,,,,,,,,
2016-01-30,378.2550048828125,380.9169921875,376.4909973144531,30284400.0,378.864990234375,,,,,,,,,,
2016-01-31,368.7669982910156,380.3469848632813,367.8349914550781,37894300.0,378.2929992675781,,,,,,,,,,
2016-02-01,373.0559997558594,378.0719909667969,367.9570007324219,51656700.0,369.3500061035156,,,,,,,,,,
2016-02-02,374.447998046875,375.8829956054688,372.9200134277344,40378700.0,372.9200134277344,,,,,,,,,,
2016-02-03,369.9490051269531,374.9500122070313,368.0450134277344,45933400.0,374.64599609375,,,,,,,,,,
2016-02-04,389.593994140625,391.6080017089844,369.9930114746094,69285504.0,370.1740112304688,,,,,,,,,,
2016-02-05,386.5490112304688,391.093994140625,385.5719909667969,43825000.0,388.8980102539063,,,,,,,,,,
2016-02-06,376.5220031738281,386.6310119628906,372.3869934082031,49249300.0,386.5889892578125,,,,,,,,,,
